43205,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:00,79.2,10:17.9,10:17.9
43210,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:05,79.2,10:17.9,10:17.9
43215,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:10,79.14,10:17.9,10:17.9
43220,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:15,79.2,10:17.9,10:17.9
43225,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:20,79.18,10:17.9,10:17.9
43230,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:25,79.14,10:17.9,10:17.9
43235,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:30,79.18,10:17.9,10:17.9
43240,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:35,79.14,10:17.9,10:17.9
43245,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:40,79.14,10:17.9,10:17.9
43250,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:45,79.18,10:17.9,10:17.9
43255,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:50,79.07,10:17.9,10:17.9
43260,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 0:55,79.11,10:17.9,10:17.9
43265,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:00,79.12,10:17.9,10:17.9
43270,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:05,79.07,10:17.9,10:17.9
43275,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:10,79.05,10:17.9,10:17.9
43280,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:15,79.05,10:17.9,10:17.9
43285,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:20,79.07,10:17.9,10:17.9
43290,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:25,79.05,10:17.9,10:17.9
43295,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:30,79.02,10:17.9,10:17.9
43300,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:35,79.07,10:17.9,10:17.9
43305,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:40,79.07,10:17.9,10:17.9
43310,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:45,79,10:17.9,10:17.9
43315,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:50,79.02,10:17.9,10:17.9
43320,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 1:55,78.96,10:17.9,10:17.9
43325,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:00,78.94,10:17.9,10:17.9
43330,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:05,78.96,10:17.9,10:17.9
43335,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:10,79,10:17.9,10:17.9
43340,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:15,79,10:17.9,10:17.9
43345,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:20,78.96,10:17.9,10:17.9
43350,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:25,78.96,10:17.9,10:17.9
43355,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:30,78.94,10:17.9,10:17.9
43360,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:35,78.93,10:17.9,10:17.9
43365,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:40,78.94,10:17.9,10:17.9
43370,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:45,78.93,10:17.9,10:17.9
43375,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:50,78.94,10:17.9,10:17.9
43380,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 2:55,78.93,10:17.9,10:17.9
43385,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:00,78.89,10:17.9,10:17.9
43390,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:05,78.93,10:17.9,10:17.9
43395,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:10,78.93,10:17.9,10:17.9
43400,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:15,78.89,10:17.9,10:17.9
43405,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:20,78.84,10:17.9,10:17.9
43410,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:25,78.87,10:17.9,10:17.9
43415,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:30,78.82,10:17.9,10:17.9
43420,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:35,78.84,10:17.9,10:17.9
43425,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:40,78.87,10:17.9,10:17.9
43430,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:45,78.82,10:17.9,10:17.9
43435,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:50,78.82,10:17.9,10:17.9
43440,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 3:55,78.82,10:17.9,10:17.9
43445,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 4:00,78.82,10:17.9,10:17.9
43450,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 4:05,78.8,10:17.9,10:17.9
43455,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 4:10,78.84,10:17.9,10:17.9
43460,7488744a-0824-405a-8af9-4a74db5c49ba,2018-09-17 4:15,78.82,10:17.9,10:17.9
